,dbn,score,year
688,02M130,0.8777555,2018-2019
689,02M130,0.86272544,2019-2020
690,02M130,0.8476954,2020-2021
691,02M130,0.8326653,2021-2022
692,02M130,0.8176353,2022-2023
693,02M130,0.7915832,2023-2024
694,02M131,0.5596,2006-2007
695,02M131,0.66,2007-2008
696,02M131,0.89378756,2014-2015
697,02M131,0.8416834,2015-2016
698,02M131,0.73947895,2016-2017
699,02M131,0.7875751,2017-2018
700,02M131,0.8276553,2018-2019
701,02M131,0.7780561,2019-2020
702,02M131,0.7284569,2020-2021
703,02M131,0.67885774,2021-2022
704,02M131,0.6292585,2022-2023
705,02M131,0.58316636,2023-2024
706,02M135,,2014-2015
707,02M135,,2015-2016
708,02M135,0.63727456,2016-2017
709,02M135,0.62124246,2017-2018
710,02M135,0.70541084,2018-2019
711,02M135,0.6948898,2019-2020
712,02M135,0.6843687,2020-2021
713,02M135,0.6738477,2021-2022
714,02M135,0.6633267,2022-2023
715,02M135,0.6232465,2023-2024
716,02M139,,2014-2015
717,02M139,,2015-2016
718,02M139,0.71142286,2016-2017
719,02M139,0.63527054,2017-2018
720,02M139,0.71943885,2018-2019
721,02M139,0.6933868,2019-2020
722,02M139,0.6673347,2020-2021
723,02M139,0.64128256,2021-2022
724,02M139,0.61523044,2022-2023
725,02M139,0.501002,2023-2024
726,02M150,0.762,2008-2009
727,02M150,0.524,2009-2010
728,02M150,0.324,2010-2011
729,02M150,0.426,2011-2012
730,02M150,0.624,2012-2013
731,02M150,0.8276553,2014-2015
732,02M150,0.8957916,2015-2016
733,02M150,0.76553106,2016-2017
734,02M150,0.9018036,2017-2018
735,02M150,0.8777555,2018-2019
736,02M150,0.9083166,2019-2020
737,02M150,0.93887776,2020-2021
738,02M150,0.96943885,2021-2022
739,02M150,1.0,2022-2023
740,02M150,0.9859719,2023-2024
741,02M151,0.73146296,2014-2015
742,02M151,0.8036072,2015-2016
743,02M151,0.5390782,2016-2017
744,02M151,0.71142286,2017-2018
745,02M151,0.7775551,2018-2019
746,02M151,0.7760521,2019-2020
747,02M151,0.7745491,2020-2021
748,02M151,0.7730461,2021-2022
749,02M151,0.7715431,2022-2023
750,02M151,0.751503,2023-2024
751,02M158,0.786,2008-2009
752,02M158,0.797,2009-2010
753,02M158,0.509,2010-2011
754,02M158,0.591,2011-2012
755,02M158,0.619,2012-2013
756,02M158,0.9719439,2014-2015
