,community_board,year,rent
425,Bronx Community Board 8,2019,1356.6212
426,Brooklyn Community Board 11,2019,1428.0776
427,Manhattan Community Board 12,2019,1277.809
428,Staten Island Community Board 2,2018,1249.7926
429,Brooklyn Community Board 8,2018,1388.6584
430,Queens Community Board 4,2018,1625.7986
431,Manhattan Community Board 10,2018,1135.4954
432,Manhattan Community Board 8,2017,2500.4468
433,Brooklyn Community Board 8,2017,1288.8677
434,Brooklyn Community Board 14,2017,1395.5476
435,Manhattan Community Board 9,2017,1250.7677
436,Bronx Community Board 1,2017,927.4622
437,Manhattan Community Board 8,2016,2440.6216
438,Bronx Community Board 8,2016,1310.7659
439,Queens Community Board 3,2016,1509.434
440,Manhattan Community Board 3,2016,1082.131
441,Brooklyn Community Board 13,2016,1024.4174
442,Bronx Community Board 9,2016,1196.4484
443,Bronx Community Board 1,2016,955.6049
444,Brooklyn Community Board 2,2015,1842.0525
445,Queens Community Board 5,2015,1474.0908
446,Brooklyn Community Board 7,2015,1309.181
447,Brooklyn Community Board 4,2015,1315.9121
448,Bronx Community Board 1,2015,866.0564
449,Manhattan Community Board 1,2014,2246.4973
450,Manhattan Community Board 7,2014,1909.5227
451,Manhattan Community Board 4,2014,2246.4973
452,Queens Community Board 9,2014,1460.2233
453,Queens Community Board 2,2014,1611.8618
454,Queens Community Board 12,2014,1260.285
455,Brooklyn Community Board 14,2014,1283.8732
456,Queens Community Board 14,2014,1078.3187
457,Brooklyn Community Board 12,2014,1393.9515
458,Bronx Community Board 9,2014,1141.2206
459,Bronx Community Board 1,2014,822.218
460,Queens Community Board 10,2013,1336.1356
461,Queens Community Board 6,2013,1553.5138
462,Manhattan Community Board 10,2013,902.5175
463,Bronx Community Board 3,2013,925.2796
464,Queens Community Board 8,2012,1375.9492
465,Staten Island Community Board 1,2012,1114.4147
466,Queens Community Board 1,2012,1437.2826
467,Queens Community Board 12,2012,1240.5531
468,Manhattan Community Board 11,2012,961.6601
469,Staten Island Community Board 1,2011,1161.1031
470,Queens Community Board 5,2011,1328.6608
471,Queens Community Board 1,2011,1393.5598
472,Queens Community Board 14,2011,1089.1241
473,Brooklyn Community Board 3,2011,966.406
474,Brooklyn Community Board 16,2011,873.1873
475,Manhattan Community Board 8,2010,2073.9746
476,Manhattan Community Board 6,2010,2260.863
477,Staten Island Community Board 2,2010,1143.1738
478,Brooklyn Community Board 11,2010,1123.7568
479,Brooklyn Community Board 12,2010,1337.3435
480,Queens Community Board 11,2009,1534.1819
481,Brooklyn Community Board 18,2009,1298.4387
482,Queens Community Board 1,2009,1365.0886
483,Bronx Community Board 10,2009,1100.9575
484,Bronx Community Board 10,2008,1121.9441
485,Bronx Community Board 11,2008,1073.5951
486,Brooklyn Community Board 17,2008,1152.937
487,Queens Community Board 4,2008,1317.8193
488,Brooklyn Community Board 1,2008,1078.554
489,Brooklyn Community Board 12,2008,1213.6831
490,Brooklyn Community Board 9,2008,1064.9171
491,Brooklyn Community Board 4,2008,1085.9923
492,Bronx Community Board 4,2008,922.3496
493,Queens Community Board 6,2007,1467.0535
494,Brooklyn Community Board 18,2007,1288.0189
495,Queens Community Board 5,2007,1279.0027
496,Bronx Community Board 12,2007,1137.3207
497,Queens Community Board 5,2006,1264.8363
498,Queens Community Board 3,2006,1290.0006
499,Brooklyn Community Board 11,2006,1180.0724
500,Brooklyn Community Board 9,2006,1060.8732
501,Brooklyn Community Board 1,2006,952.2694
502,Bronx Community Board 7,2006,1037.0333
503,Bronx Community Board 4,2006,900.6164
504,Bronx Community Board 5,2006,950.94495
505,Bronx Community Board 6,2006,809.23035
506,Manhattan Community Board 8,2021,2399.0
507,Queens Community Board 13,2011,1545.7776
508,Bronx Community Board 10,2018,1180.3597
509,Manhattan Community Board 8,2007,2145.8394
510,Queens Community Board 7,2007,1405.2286
511,Queens Community Board 10,2007,1354.9958
512,Brooklyn Community Board 9,2019,1381.8411
513,Manhattan Community Board 6,2007,2170.3118
514,Queens Community Board 13,2007,1472.2056
515,Brooklyn Community Board 6,2006,1658.1937
